iter	Passed	Remaining
408	4723	6825
409	4733	6810
410	4742	6796
411	4753	6783
412	4767	6776
413	4783	6770
414	4795	6760
415	4804	6745
416	4813	6729
417	4823	6715
418	4835	6704
419	4844	6689
420	4854	6676
421	4863	6661
422	4874	6649
423	4884	6636
424	4893	6620
425	4906	6610
426	4915	6596
427	4927	6585
428	4936	6569
429	4950	6561
430	4960	6548
431	4970	6535
432	4979	6520
433	4990	6507
434	4999	6493
435	5007	6478
436	5022	6470
437	5034	6459
438	5042	6444
439	5054	6432
440	5066	6422
441	5075	6407
442	5086	6395
443	5095	6380
444	5106	6369
445	5116	6355
446	5125	6341
447	5138	6330
448	5148	6317
449	5165	6313
450	5176	6300
451	5185	6286
452	5195	6273
453	5208	6263
454	5217	6249
455	5226	6235
456	5236	6221
457	5247	6209
458	5257	6196
459	5268	6185
460	5279	6172
461	5288	6159
462	5300	6147
463	5311	6135
464	5323	6124
465	5332	6110
466	5343	6098
467	5357	6090
468	5395	6108
469	5407	6097
470	5418	6085
471	5437	6082
472	5447	6069
473	5457	6056
474	5467	6043
475	5477	6030
476	5488	6017
477	5497	6004
478	5509	5992
479	5519	5979
480	5528	5965
481	5545	5959
482	5553	5944
483	5561	5929
484	5578	5923
485	5590	5912
486	5601	5900
487	5612	5888
488	5623	5876
489	5634	5864
490	5658	5865
491	5669	5853
492	5678	5840
493	5691	5829
494	5701	5816
495	5710	5802
496	5722	5791
497	5737	5783
498	5746	5769
499	5756	5756
500	5765	5742
501	5775	5729
502	5785	5716
503	5796	5704
504	5806	5691
505	5817	5679
506	5831	5670
507	5842	5658
508	5851	5645
509	5861	5632
510	5871	5618
511	5881	5606
512	5892	5593
513	5902	5580
514	5911	5567
515	5921	5554
516	5931	5541
517	5942	5529
518	5954	5518
519	5965	5506
520	5974	5492
521	5986	5481
522	5997	5469
523	6008	5457
524	6020	5446
525	6028	5432
526	6039	5420
527	6049	5407
528	6062	5398
529	6072	5384
530	6082	5371
531	6092	5359
532	6106	5350
533	6115	5336
534	6124	5323
535	6133	5309
536	6144	5297
537	6154	5284
538	6165	5272
539	6174	5260
540	6184	5246
541	6195	5235
542	6206	5223
543	6215	5209
544	6226	5198
545	6235	5184
546	6245	5172
547	6254	5159
548	6263	5145
549	6273	5132
550	6287	5123
551	6297	5110
552	6307	5098
553	6317	5086
554	6328	5073
555	6337	5060
556	6348	5049
557	6359	5037
558	6370	5025
559	6381	5014
560	6392	5002
561	6402	4989
562	6412	4977
563	6421	4964
564	6430	4951
565	6440	4938
566	6449	4925
567	6461	4914
568	6473	4903
569	6484	4891
570	6495	4879
571	6506	4868
572	6516	4856
573	6529	4846
574	6541	4835
575	6553	4824
576	6565	4813
577	6575	4800
578	6585	4788
579	6596	4776
580	6607	4765
581	6618	4753
582	6627	4740
583	6637	4727
584	6648	4716
585	6662	4706
586	6678	4698
587	6695	4691
588	6721	4690
589	6734	4679
590	6744	4667
591	6755	4655
592	6764	4642
593	6774	4630
594	6786	4619
595	6797	4607
596	6808	4595
597	6818	4583
598	6829	4572
599	6839	4559
600	6851	4548
601	6863	4537
602	6894	4539
603	6904	4526
604	6913	4514
605	6924	4501
606	6934	4489
607	6943	4476
608	6953	4464
609	6963	4451
610	6974	4440
611	6985	4428
612	6995	4416
613	7005	4403
614	7015	4391
615	7026	4379
616	7039	4369
617	7050	4358
618	7062	4347
619	7073	4335
620	7085	4324
621	7098	4313
622	7108	4301
623	7118	4289
624	7127	4276
625	7136	4263
626	7148	4252
627	7157	4239
628	7166	4227
629	7176	4215
630	7187	4203
631	7199	4191
632	7209	4179
633	7219	4167
634	7232	4157
635	7245	4146
636	7255	4134
637	7266	4123
638	7277	4111
639	7287	4099
640	7297	4086
641	7308	4075
642	7318	4063
643	7329	4051
644	7339	4039
645	7348	4026
646	7358	4014
647	7368	4002
648	7377	3990
649	7389	3978
650	7403	3969
651	7414	3957
652	7423	3944
653	7433	3932
654	7443	3920
655	7455	3909
656	7465	3897
657	7475	3885
658	7485	3873
659	7493	3860
660	7504	3848
661	7515	3837
662	7527	3826
663	7538	3814
664	7548	3802
665	7559	3791
666	7571	3780
667	7583	3768
668	7594	3757
669	7606	3746
670	7617	3734
671	7628	3723
672	7638	3711
673	7649	3699
674	7659	3687
675	7669	3675
676	7678	3663
677	7689	3651
678	7699	3639
679	7709	3627
680	7721	3616
681	7731	3604
682	7741	3592
683	7750	3580
684	7763	3570
685	7777	3560
686	7788	3548
687	7799	3537
688	7809	3525
689	7819	3513
690	7830	3501
691	7841	3489
692	7851	3478
693	7862	3466
694	7871	3454
695	7881	3442
696	7894	3431
