iter	Logloss
0	0.6900869751
1	0.6866172791
2	0.6810029602
3	0.675680542
4	0.6716954041
5	0.6666074371
6	0.6621549988
7	0.6590998077
8	0.6562432098
9	0.6515768433
10	0.6481842804
11	0.6437175751
12	0.6402232361
13	0.6368498993
14	0.6342145157
15	0.6298407364
16	0.6258776855
17	0.6234955215
18	0.6211304855
19	0.6167961121
20	0.6145793152
21	0.6105181122
22	0.6068054581
23	0.6034659576
24	0.6005096817
25	0.5987175751
26	0.5961033249
27	0.592532692
28	0.5887207413
29	0.586794014
30	0.5833869934
31	0.5816069794
32	0.5780844116
33	0.576389389
34	0.5743009949
35	0.5711270905
36	0.5678937149
37	0.5659162521
38	0.5644314194
39	0.5611977005
40	0.5592065811
41	0.5564323425
42	0.5545302963
43	0.5531632233
44	0.5514936447
45	0.5485241699
46	0.5467115021
47	0.5448508835
48	0.5431198883
49	0.5419168854
50	0.5401408005
51	0.5384394073
52	0.5356582642
53	0.5331280136
54	0.531855011
55	0.5304414368
56	0.5293745422
57	0.5271570587
58	0.5246082687
59	0.5229046631
60	0.5212866974
61	0.5201078415
62	0.5189015579
63	0.5177043915
64	0.5167305756
65	0.5152685928
66	0.5142645264
67	0.5118635559
68	0.5104846573
69	0.5091464233
70	0.5079859924
71	0.5069431305
72	0.5046195221
73	0.5035625839
74	0.5023685837
75	0.5014647675
76	0.5005360794
77	0.4981842041
78	0.4961232758
79	0.4948220825
80	0.4931195068
81	0.49217453
82	0.4911534882
83	0.4900007629
84	0.4890419388
85	0.4879988098
86	0.4871701813
87	0.4863411713
88	0.4846817017
89	0.4838876343
90	0.4830196762
91	0.4813697815
92	0.4798204041
93	0.4789799881
94	0.4780657959
95	0.4771997452
96	0.4755205154
97	0.4745286942
98	0.4735936737
99	0.4728484344
100	0.4719568634
101	0.4707073975
102	0.4695206833
103	0.4681116486
104	0.4675293732
105	0.4667679596
106	0.4652741241
107	0.4639879608
108	0.4631912994
109	0.4623031616
110	0.4610800171
111	0.4595817184
112	0.4587999725
113	0.4578101349
114	0.4564532852
115	0.4554574966
116	0.4547999191
117	0.4534605789
118	0.4522762299
119	0.4517558289
120	0.4512651443
121	0.4501203156
122	0.4491769409
123	0.4485324097
124	0.4471059036
125	0.4461968613
126	0.4454183197
127	0.444593811
128	0.4437421799
129	0.4423467636
130	0.4412192154
131	0.440046463
132	0.4392328262
133	0.4385604858
134	0.4377815247
135	0.4374143982
136	0.4361877441
137	0.4355265045
138	0.4349794388
139	0.4337205505
140	0.4333151627
141	0.432126236
142	0.4313441467
143	0.4302983856
144	0.4296119308
145	0.4290415955
146	0.4285571289
147	0.4275022125
148	0.4268465042
149	0.4262735748
150	0.4257043076
151	0.4250483322
152	0.4240671539
153	0.4233093262
154	0.4224364853
155	0.4219239807
156	0.4214688873
157	0.4209792709
158	0.4202568054
